courseUnitCode,programmeCode,year,semester
FBAM1101,BBA,1,1
FBAM1102,BBA,1,1
FBAM1103,BBA,1,1
FBAM1104,BBA,1,1
FBAM1105,BBA,1,1
FBAM1201,BBA,1,2
FBAM1202,BBA,1,2
FBAM1203,BBA,1,2
FBAM1204,BBA,1,2
FBAM1205,BBA,1,2
FBAM2101,BBA,2,1
FBAM2102,BBA,2,1
FBAM2103,BBA,2,1
FBAM2104,BBA,2,1
FBAM2105,BBA,2,1
FBAM2201,BBA,2,2
FBAM2202,BBA,2,2
FBAM2203,BBA,2,2
FBAM2204,BBA,2,2
FBAM2205,BBA,2,2
FBAM3101,BBA,3,1
FBAM3102,BBA,3,1
FBAM3103,BBA,3,1
FBAM3104,BBA,3,1
FBAM3105,BBA,3,1
FBAM3201,BBA,3,2
FBAM3202,BBA,3,2
FBAM3203,BBA,3,2
FBAM1101,BCOM,1,1
FBAM1102,BCOM,1,1
FBAM1103,BCOM,1,1
FBAM1104,BCOM,1,1
FBAM1105,BCOM,1,1
FBAM1201,BCOM,1,2
FBAM1202,BCOM,1,2
FBAM1203,BCOM,1,2
FBAM1204,BCOM,1,2
FBAM1205,BCOM,1,2
FBAM2101,BCOM,2,1
FBAM2102,BCOM,2,1
FBAM2103,BCOM,2,1
FBAM2104,BCOM,2,1
FBAM2105,BCOM,2,1
FBAM2201,BCOM,2,2
FBAM2202,BCOM,2,2
FBAM2203,BCOM,2,2
FBAM2204,BCOM,2,2
FBAM2205,BCOM,2,2
FBAM3101,BCOM,3,1
FBAM3102,BCOM,3,1
FBAM3103,BCOM,3,1
FBAM3104,BCOM,3,1
FBAM3105,BCOM,3,1
FBAM3201,BCOM,3,2
FBAM3202,BCOM,3,2
FBAM3203,BCOM,3,2
FBAM1101,BAF,1,1
FBAM1102,BAF,1,1
FBAM1103,BAF,1,1
FBAM1104,BAF,1,1
FBAM1105,BAF,1,1
FBAM1201,BAF,1,2
FBAM1202,BAF,1,2
FBAM1203,BAF,1,2
FBAM1204,BAF,1,2
FBAM1205,BAF,1,2
FBAM2101,BAF,2,1
FBAM2102,BAF,2,1
FBAM2103,BAF,2,1
FBAM2104,BAF,2,1
FBAM2105,BAF,2,1
FBAM2201,BAF,2,2
FBAM2202,BAF,2,2
FBAM2203,BAF,2,2
FBAM2204,BAF,2,2
FBAM2205,BAF,2,2
FBAM3101,BAF,3,1
FBAM3103,BAF,3,1
FBAM3104,BAF,3,1
FBAM3201,BAF,3,2
FBAM3202,BAF,3,2
FBAM3203,BAF,3,2
FBAM1101,BHRM,1,1
FBAM1102,BHRM,1,1
FBAM1103,BHRM,1,1
FBAM1104,BHRM,1,1
FBAM1105,BHRM,1,1
FBAM1201,BHRM,1,2
FBAM1202,BHRM,1,2
FBAM1203,BHRM,1,2
FBAM1204,BHRM,1,2
FBAM1205,BHRM,1,2
FBAM2101,BHRM,2,1
FBAM2102,BHRM,2,1
FBAM2103,BHRM,2,1
FBAM2105,BHRM,2,1
FBAM2201,BHRM,2,2
FBAM2202,BHRM,2,2
FBAM2204,BHRM,2,2
FBAM2205,BHRM,2,2
FBAM3101,BHRM,3,1
FBAM3102,BHRM,3,1
FBAM3103,BHRM,3,1
FBAM3104,BHRM,3,1
FBAM3201,BHRM,3,2
FBAM3202,BHRM,3,2
FBAM3203,BHRM,3,2
FBAM1101,BPLM,1,1
FBAM1102,BPLM,1,1
FBAM1103,BPLM,1,1
FBAM1104,BPLM,1,1
FBAM1105,BPLM,1,1
FBAM1201,BPLM,1,2
FBAM1202,BPLM,1,2
FBAM1203,BPLM,1,2
FBAM1204,BPLM,1,2
FBAM1205,BPLM,1,2
FBAM2101,BPLM,2,1
FBAM2102,BPLM,2,1
FBAM2103,BPLM,2,1
FBAM2105,BPLM,2,1
FBAM2201,BPLM,2,2
FBAM2202,BPLM,2,2
FBAM2204,BPLM,2,2
FBAM3101,BPLM,3,1
FBAM3102,BPLM,3,1
FBAM3103,BPLM,3,1
FBAM3104,BPLM,3,1
FBAM3105,BPLM,3,1
FBAM3201,BPLM,3,2
FBAM3202,BPLM,3,2
FBAM3203,BPLM,3,2
FED1101,BED-ARTS,1,1
FED1102,BED-ARTS,1,1
FED1103,BED-ARTS,1,1
FED1104,BED-ARTS,1,1
FED1105,BED-ARTS,1,1
FED1201,BED-ARTS,1,2
FED1202,BED-ARTS,1,2
FED1203,BED-ARTS,1,2
FED1204,BED-ARTS,1,2
FED2101,BED-ARTS,2,1
FED2102,BED-ARTS,2,1
